SUPPLY_ID,LATITUDE,LONGITUDE
1626,38.0354686,23.8511229
1243,37.9571421,23.7014976
930,38.4109234,23.5490415
1736,40.8551059,25.7417761
128,38.0021175,23.7133553
391,40.9181761,22.8747643
1878,37.7859361,20.8672131
794,39.643729,22.4171512
699,37.0802026,22.166867
715,37.0733065,22.4289933
1241,37.8313786,23.7749064
1074,37.9471388,23.6522882
436,40.6186627,22.9570433
728,39.3635451,22.9509289
644,37.5184561,23.4545299
1404,37.9576129,23.7386748
991,36.3205315,28.1005632
459,40.6186627,22.9570433
455,40.5026766,22.9169454
1691,38.0375283,23.5442699
1445,38.0409479,23.749679
1763,41.1182687,24.9223683
1346,37.9724565,23.6634615
223,38.0226558,23.6880042
1654,38.0622969,23.7599103
164,38.0104638,23.7007324
757,39.3532761,22.9617457
1601,37.7905679,23.8908039
770,39.1284576,22.9082801
1669,38.0622969,23.7599103
1500,38.0511604,23.7680577
160,38.0374707,23.6978864
1317,37.9694817,23.6207523
1719,37.9669567,23.746057
543,38.254639,21.7414437
39,38.0007049,23.7370788
320,40.6318012,22.9471962
762,39.3729194,22.9366914
710,37.2555737,21.6792186
689,37.0802026,22.166867
1822,40.5115162,22.2148981
599,38.0237317,23.0146275
22,38.0051617,23.730919
752,39.506579,22.9167188
481,40.6120795,22.9831264
1904,39.074208,21.824312
755,39.3635451,22.9509289
1019,35.221909,24.6367434
664,37.5525103,21.8330106
1088,37.9230902,23.7006936
1260,37.8619956,23.7541813
1277,37.9376968,23.7493748
95,37.9695107,23.7068342
929,38.3380448,23.6202585
690,37.1267401,21.8754722
1328,37.9299789,23.6342572
1894,38.5331578,21.0763488
1037,35.3272623,25.1299487
147,37.976591,23.7649908
1973,39.7627551,19.8186982
1329,37.9698532,23.6985909
669,37.6725355,21.434075
378,40.7178604,22.7341453
1906,39.4351035,21.0806607
647,37.1508784,22.8343844
1817,40.9234336,23.5221653
510,40.3063053,23.2071277
840,39.074208,21.824312
1704,38.0170492,23.8593451
993,36.3205315,28.1005632
1903,38.7744793,21.1072539
419,40.5745629,22.9465596
923,38.3962372,23.7926552
1030,35.3386998,25.1577575
1518,38.0293616,23.7329608
1282,37.9228947,23.7410981
359,40.62253700000001,22.7314709
1041,35.2963644,25.0228736
1504,38.0293616,23.7329608
598,37.9170427,22.9448182
1009,35.42874380000001,24.025014
1630,39.074208,21.824312
658,37.5089604,22.3850574
398,41.0195054,22.5371552
237,37.96062149999999,23.7567478
1348,37.9871449,23.6419455
385,40.844942,22.7579941
1865,40.08489489999999,21.4306002
1311,37.9552658,23.7220834
482,40.5992628,22.9594498
1789,41.0753151,24.2271616
363,40.6670356,22.9104918
431,40.60707000000001,22.9526718
508,40.61703199999999,22.9742355
1958,39.4313592,20.2587568
1274,37.9471012,23.7015776
1959,39.4313592,20.2587568
718,36.7690519,22.5006693
660,37.7133997,22.2717815
222,38.0374707,23.6978864
61,37.9903022,23.7402104
109,37.9748045,23.7751799
227,37.9959426,23.6830046
888,38.3570993,22.7889422
1633,38.0722402,23.8139199
1149,37.9768566,23.6532208
1815,41.327451,23.3671864
1071,37.9376968,23.7493748
606,38.0156005,22.740167
1641,38.0413838,23.8031774
850,38.9140485,21.7932241
1068,37.9443509,23.6966157
1698,37.9537757,23.8559055
1171,37.9703784,23.4636342
723,39.3434619,22.9291491
458,40.60212569999999,22.9727602
275,38.0378644,23.6871983
293,38.0296284,23.6949815
1814,41.2691594,23.2307693
841,38.7785777,22.7685309
1887,38.4881726,21.5921932
651,37.4813502,22.4376627
1192,37.9599679,23.625872
224,37.997718,23.6739508
196,38.0378644,23.6871983
1402,37.9129729,23.7662578
1642,38.118785,23.8596257
521,38.1640464,21.8343074
1380,39.074208,21.824312
132,37.9963295,23.7093092
1454,38.0622969,23.7599103
1325,37.95198,23.6415334
509,40.3063053,23.2071277
1747,41.1232774,25.2029272
1749,41.1145301,25.4112679
1767,40.9533737,24.8408126
552,38.2794669,21.7521278
213,38.0724807,23.7470526
686,37.0802026,22.166867
970,37.0436365,25.2284277
1905,38.8556829,21.2368084
1218,37.9606327,23.7125466
1262,37.9376968,23.7493748
1045,35.211961,25.0110063
1600,38.0178806,23.9979811
1697,37.9106901,24.0177053
1136,37.9768566,23.6532208
1025,35.3275708,24.5005038
1315,37.8838731,23.759146
1596,37.9106901,24.0177053
347,40.6525466,22.953215
1239,37.9443509,23.6966157
346,40.6618023,22.9466631
